ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,target,target_name
4776,15020,6428,-90,562,391,4852,14964,6400,-107,575,387,2,Poor
4100,15340,7300,-112,1996,320,4192,15384,7304,-110,1870,3570,2,Poor
5096,23752,7248,-1395,4219,1617,3012,21072,4192,-2501,3228,1352,2,Poor
5696,15400,3816,-1359,-2807,33,5612,15324,3824,-1346,-2863,14,2,Poor
5604,15048,5156,-1711,-1499,-106,5584,15104,5024,-1735,-1535,-112,2,Poor
6108,14512,5784,-562,156,11,6080,14548,5704,-579,140,14,2,Poor
5328,14704,5016,1148,3173,1037,5384,14700,4880,1209,3126,1013,2,Poor
5192,15424,3368,959,453,218,5184,15420,3184,951,385,231,2,Poor
5392,15100,4920,-3029,-1285,-930,5376,15324,4164,-3181,-1633,-890,2,Poor
6100,13980,4796,-822,-1751,359,5976,14124,4824,-753,-1770,391,2,Poor
5940,14436,6308,365,1162,459,5924,14544,6564,306,1167,430,2,Poor
5332,13328,4548,5343,4057,1119,5472,13148,4544,5511,3956,1134,2,Poor
5044,14868,5416,1725,2949,1741,5012,14784,5368,1766,2987,1713,2,Poor
5984,15160,3852,2171,2961,1277,5876,15184,4052,2163,2971,1205,2,Poor
5152,15508,4292,391,450,-430,4896,15908,4344,205,403,-503,2,Poor
4568,14712,6096,-1021,-1984,-312,4604,14696,6124,-1000,-2004,-334,2,Poor
5252,14540,5560,-314,-1341,167,5220,14704,5512,-327,-1324,200,2,Poor
5440,13768,6944,-704,574,312,5440,13752,6932,-629,579,309,2,Poor
5300,14988,4788,4,548,368,5372,15120,4588,-11,529,386,2,Poor
4928,14968,5388,-276,-158,209,4868,15080,5292,-259,-211,189,2,Poor
4996,14868,5924,-443,-212,-39,5056,14836,5884,-441,-227,-66,2,Poor
4064,14660,6512,-385,658,147,3888,14640,6380,-346,702,176,2,Poor
4308,15840,6044,-853,1102,1326,4128,15916,5656,-490,1495,1200,2,Poor
4964,14952,5396,67,589,715,5052,15092,5352,-17,672,776,2,Poor
4940,14388,5876,1458,2844,1526,4968,14408,5844,1496,2809,1514,2,Poor
3756,14944,6768,-229,997,293,3916,15068,6624,-230,973,302,2,Poor
3892,14720,7016,-191,285,218,3828,14656,7176,-209,329,247,2,Poor
5716,14632,6476,-840,558,168,5588,14568,6336,-847,531,171,2,Poor
5096,14548,6928,-327,694,202,4732,14576,6892,-260,820,231,2,Poor
5372,15240,7284,-1345,-3652,-1412,5532,14860,7188,-1499,-3394,-1364,2,Poor
5552,13932,7600,-185,814,271,5580,13924,7392,-153,814,238,2,Poor
5180,14328,6920,-376,967,21,5008,14416,7064,-466,1070,170,2,Poor
4672,14236,8108,-1107,-1964,-158,4632,14348,8128,-1118,-1926,-164,2,Poor
5552,14196,7860,-1574,-828,118,5460,14064,7680,-1558,-812,126,2,Poor
4920,14552,6680,1112,3619,1176,5072,14484,6480,1128,3642,1195,2,Poor
3996,15036,5980,-203,610,269,4028,15072,5988,-192,572,244,2,Poor
4748,14768,6836,-819,330,493,4688,14760,6768,-847,355,440,2,Poor
3748,14944,7920,-961,1617,711,2988,15128,7432,-908,1846,893,2,Poor
4684,14888,7112,-780,-2106,-437,4732,14852,7056,-783,-2135,-438,2,Poor
-3752,3208,16944,-394,-536,145,-3768,3068,17164,-360,-585,172,3,Fair
-2424,4416,16700,539,982,-104,-2380,4516,16348,555,1024,-84,3,Fair
-3236,4424,16864,477,-497,-207,-3164,4576,16864,438,-560,-220,3,Fair
-180,4848,16088,-3203,2884,981,-8,4564,15880,-3020,2955,1040,3,Fair
-2040,6220,15768,-2141,1853,666,-2136,6080,15856,-2223,1929,694,3,Fair
